Developmental psychology,Studies various pscyological changes during lifespan
Continuous development,Develops by adding on to previous skills
Discontinuous development,"Develops in unique stages, with points"
Zygote,Fertilized egg (first 10-14 days)
Embryo ,Developing organism (2-8 weeks)
Fetus ,"""Offspring"" (9/10 weeks)"
Teratogens,An agent that harms prenatal development 
Teratogen examples,"Alchohol, smoking, drugs, radiation"
Fetal Alcohol Syndrome (FAS),"Prenatal alcohol exposure: abnormal appearance, impulsive (ADHD), learning issues"
Fine motor skills,"Coordinating, controlling small muscles (ex.holding bottle)"
Gross motor skills,"Coordinating, controlling large muscles (ex.crawling)"
Newborn reflexes,Babies automatical response to stimuli
Rooting reflex,Baby turns head to thing touching it's cheek
Sucking reflex,Baby naturally sucks on objects near mouth
Grasping reflex,Baby clings to objects placed in hands
Moro reflex,"Feeling of falling/surprised, babies spread arms and pull them back"
Critical period,"Optimal time after birth, where stimuli produces true development"
Imprinting,(Konrad Lorenz) Ways animals form attachments in critical period
Adolescence,Transition period from childhood to adulthood
Adrenarche,Maturing of adrenal glands
Gonadarche ,Maturing of the sex glands (puberty: secondary sexual characteristics)
Menarche,Beginning of menstrual periods
Spermarche,First ejaculation
Primary sexual characteristics,"Growth of reproductive organs, external genitalia (ex.glands) "
Secondary sexual characteristics,"Non-reproductive traits (ex.body hair, voice changes)"
Sex ,"Biological - chromosomes,hormones,genitalia"
Gender,"Cultural - roles, attributes,entitlements"
Gender identity,sense of being male/female
Gender schemas,develop to show masculinity/femininity
Sexual orientation,"Sexual attraction: homo/heterosexual, not controllable"
Jean Piaget,"""Children's cognitive growth through stages"" person"
Sensorimotor stage,"Birth~age 2, senses and actions, lacks object permanence"
Animism,Belief that inanimate objects have human qualities
Object permanence ,Things still exist even when cannot be perceived
Preoperational stage ,"Age 2~6, language and intuition use, no logic, egocentrism"
Egocentrism,Difficulty perceiving other's perspectives
Theory of mind,Understands others having own thoughts and perspective
The Sally-Anne Test,"Studies theory of mind, can test autism"
Concrete operational stage,"Age 7~11, has logical thinking (conservation), analogies, reversibility (math)"
Conservation,Change in form does not change quantity
Reversibility,Understanding reversing and undoing
Formal operational stage,"Age 12~ , abstract, deductive thinking, reasoning, Algebra "
Lev Vygotsky,"""Culture and social influences are major to development"" guy"
Zone of proximal development,"Vygotsky, difference in learning with help and alone"
Scaffolding,"Vygotsky, temporary help to help development"
Crystalized intelligence,"Gained through experience, facts: steadies or improves"
Fluid intelligence,"Memory, reasoning, ability to learn: begins to decline"
Dementia,"Abnormal aging, decline in cognitive abilities"
Alzheimer's,"Neural cells deteriorate, decline in cognitive abilities"
Phonemes,Basic sounds
Morphemes,Smallest units of sound with meaning 
Semantics,Meaning from morphemes
Syntax,Order of words
Non-verbal communication,"Babies through cues (gestures, sounds) "
Cooing stage,"Newborns (~3 months), vocalizing"
Babbling stage,"(~4 months), imitation of sounds"
One-word stage,"(1-2 years), learns sounds have meaning"
Two-word stage,"(2+ years), telegraphic speech"
Overgeneralization,Misuse of grammar and syntax in speech
Ecological systems theory,"Urie Bronfenbrenner, social envrionment affects development"
Microsystem,"Immediate, direct-contact groups"
Mesosystem,Relationships between microsystem groups
Exosystem,Environments directly affecting a person
Macrosystem,Cultural influences
Chronosystem,Life stage and related events
Parenting styles,"Diana Baumrind, affects psychosocial development"
Authoritarian,"Obedience and conformity valued, rules, no affection"
Authoritative,"Reasonable demands, affectionate, listens, open discussions"
Permissive,"Lack of demands, punishment is rare, allow child's desires"
Uninvolved/Neglectful,"Indifferent, ignores child's needs"
Stranger anxiety,Infant distress around unfamiliar people
Separation anxiety,Infant distress when separated from caregivers 
Strange situation test,"Mary Ainsworth, tests attachment"
Secure attachment,"Trust,safety with caregivers, distressed when separated, joy on return"
Ambivalent/Resistant attachment,"Inconsistent trust with caregivers, distressed when separated, conflicted on return"
Avoidant attachment,"Insecure with caregivers, indifferent when separated, avoidant on return"
Disorganized attachment,"Insecure with caregivers, fear and confusion to caregivers"
Temperament,Innate traits affecting interactions with environment
Easy temperament,"Positive, regulating emotions, adapt to change"
Difficult temperament,"Negative, difficulty to regulate emotions and adapt"
Slow to warm temperament,"Negative towards new things, adapts and becomes positive"
Contact experiment,"Harry Harlow, comfort and emotional security important for attachments"
Parallel play,"Children play next to eachother, but no contact"
Pretend play,Children make made-up context for play
Imaginary audience,Adolescent belief that they are constantly being watched
Personal fable,Adolescent belief that they are special compared to others
Social clock,Cultural set times for social events like marriage
Erik Erikson,"""Social development influences sense of self, trust is important"" guy"
Trust vs mistrust,"0-1 years, trust basic needs will be met, formation of trust"
Autonomy vs shame/doubt,"1-3 years, developing sense of independence"
Initiative vs guilt,"3-6 years, taking intiative in tasks"
Industry vs inferiority,"7-11 years, develop self-confidence in abilities"
Identity vs confusion,"12-18 years, experimenting and develop roles and identity"
Intimacy vs isolation,"19-29 years, establish relationships with others"
Generativity vs stagnation,"30-64 years, contribute to society and be part of a family"
Integrity vs despair,"65+, make sense of the life lived"
Adverse childhood experiences (ACES),Traumatic childhood events affecting development
Identity ,Major development in adolescence
Diffusion,No clear identity
Foreclosure,Premature commitment to identity
Moratorium,Struggle for identity
Achievement,Committed sense of self
Possible selves,Versions of oneself to form identity
Statuses of Identity,"James Marcia, ideneity formation: crisis? commitment?"
